ptVxlArySize	 100.000000	100.000000	48.000000
vxlVoxel	480000
m_isoIsoUParaBtoT	119	
-1.978947	1.094767	-0.458790
-1.978947	1.094767	-0.500896
-1.978947	1.136873	-0.500896
-1.978947	1.178978	-0.500896
-1.978947	1.221084	-0.543002
-1.978947	1.263190	-0.543002
-1.978947	1.305295	-0.585107
-1.978947	1.347401	-0.585107
-1.978947	1.389507	-0.585107
-1.978947	1.389507	-0.627213
-1.978947	1.431613	-0.627213
-1.978947	1.473718	-0.669319
-1.978947	1.515824	-0.669319
-1.978947	1.557930	-0.669319
-1.978947	1.557930	-0.711424
-1.978947	1.600035	-0.711424
-1.978947	1.642141	-0.711424
-1.978947	1.642141	-0.753530
-1.978947	1.684247	-0.753530
-1.978947	1.726352	-0.753530
-1.978947	1.726352	-0.795636
-1.978947	1.768458	-0.795636
-1.978947	1.810564	-0.795636
-1.978947	1.810564	-0.837741
-1.978947	1.852669	-0.837741
-1.978947	1.894775	-0.837741
-1.978947	1.936881	-0.879847
-1.978947	1.978986	-0.879847

m_isoIsoVParaRtoL	119	
1.978986	-1.978947	-0.879847
1.978986	-1.936841	-0.879847
1.978986	-1.894736	-0.879847
1.978986	-1.894736	-0.837741
1.978986	-1.852630	-0.837741
1.978986	-1.810524	-0.837741
1.978986	-1.768419	-0.795636
1.978986	-1.726313	-0.795636
1.978986	-1.684207	-0.753530
1.978986	-1.642102	-0.753530
1.978986	-1.599996	-0.753530
1.978986	-1.599996	-0.711424
1.978986	-1.557890	-0.711424
1.978986	-1.515785	-0.711424
1.978986	-1.515785	-0.669319
1.978986	-1.473679	-0.669319
1.978986	-1.431573	-0.669319
1.978986	-1.389468	-0.627213
1.978986	-1.347362	-0.627213
1.978986	-1.305256	-0.627213
1.978986	-1.305256	-0.585107
1.978986	-1.263151	-0.585107
1.978986	-1.221045	-0.585107
1.978986	-1.221045	-0.543002
1.978986	-1.178939	-0.543002
1.978986	-1.136834	-0.543002
1.978986	-1.094728	-0.500896
1.978986	-1.052622	-0.500896
1.978986	-1.010517	-0.458790
1.978986	-0.968411	-0.458790
1.978986	-0.926305	-0.458790
1.978986	-0.926305	-0.416685
1.978986	-0.884200	-0.416685
1.978986	-0.842094	-0.416685
1.978986	-0.842094	-0.374579
1.978986	-0.799988	-0.374579
1.978986	-0.757883	-0.374579
1.978986	-0.715777	-0.332473
